energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.863,132.983,0.000183,0.0242,0.744,0.676,Kinetik
0.871,123.06,0.00915,0.35,0.778,0.961,Kinetik
0.925,116.057,0.0,0.0594,0.815,0.898,Kinetik
0.852,108.033,0.00309,0.179,0.683,0.635,Kinetik
0.897,135.087,0.00999,0.0159,0.727,0.897,Kinetik
0.814,114.886,0.0,0.0553,0.846,0.784,Kinetik
0.758,111.038,0.00466,0.159,0.78,0.911,Kinetik
0.904,100.045,0.0589,0.339,0.795,0.85,Kinetik
0.919,109.022,9.37e-05,0.0371,0.735,0.155,Kinetik
0.84,112.081,0.0335,0.0278,0.757,0.734,Kinetik
0.888,120.042,0.0,0.27,0.765,0.625,Kinetik
0.922,105.085,0.0,0.285,0.775,0.712,Kinetik
0.756,126.122,0.017,0.00953,0.761,0.702,Kinetik
0.989,125.028,0.425,0.000324,0.795,0.926,Kinetik
0.83,113.985,0.0,0.0389,0.813,0.809,Kinetik
0.785,134.019,0.0301,0.00709,0.83,0.833,Kinetik
0.88,120.079,0.0,0.165,0.816,0.752,Kinetik
0.799,125.041,0.144,0.0397,0.677,0.775,Kinetik
0.803,108.015,4.08e-06,0.0336,0.758,0.791,Kinetik
0.799,125.015,0.0204,0.159,0.853,0.798,Kinetik
0.833,100.005,0.000115,0.122,0.721,0.549,Kinetik
0.806,121.918,0.0201,0.304,0.868,0.941,Kinetik
0.754,118.091,0.0,0.339,0.669,0.543,Kinetik
0.947,101.628,0.000769,0.0548,0.716,0.805,Kinetik
0.871,101.199,0.14,0.0238,0.763,0.618,Kinetik
0.858,106.693,8.49e-05,0.302,0.747,0.536,Kinetik
0.935,123.248,0.0184,0.127,0.782,0.853,Kinetik
0.84,113.623,0.136,0.145,0.652,0.955,Kinetik
0.875,104.925,0.449,0.0917,0.664,0.626,Kinetik
0.854,103.018,0.0,0.492,0.709,0.816,Kinetik
0.825,100.04,0.00095,0.147,0.713,0.68,Kinetik
0.934,104.965,6.58e-05,0.162,0.737,0.614,Kinetik
0.829,117.714,4.9e-05,0.153,0.746,0.834,Kinetik
0.925,102.52,6.78e-06,0.178,0.677,0.396,Kinetik
0.933,115.711,0.195,0.166,0.7,0.863,Kinetik
0.776,118.019,0.027,0.29,0.851,0.907,Kinetik
0.822,117.971,0.0158,0.0221,0.843,0.86,Kinetik
0.761,129.911,0.0,0.162,0.875,0.912,Kinetik
0.86,109.966,4.45e-05,0.0782,0.803,0.534,Kinetik
0.92,108.979,0.0797,0.158,0.804,0.811,Kinetik
0.808,115.011,0.0,0.113,0.775,0.912,Kinetik
0.873,116.968,0.0,0.422,0.668,0.771,Kinetik
0.855,115.0,0.0215,0.0234,0.891,0.527,Kinetik
0.801,115.028,0.000312,0.0105,0.898,0.724,Kinetik
0.907,110.0,0.064,0.304,0.774,0.962,Kinetik
0.942,136.029,0.301,0.206,0.695,0.851,Kinetik
0.94,139.497,0.0288,0.0619,0.701,0.945,Kinetik
0.778,100.009,0.0,0.198,0.808,0.613,Kinetik
0.78,125.05,0.0506,0.0024,0.759,0.51,Kinetik
0.902,127.968,1.73e-05,0.13,0.85,0.836,Kinetik
0.838,112.608,0.49,0.0874,0.681,0.456,Kinetik
0.835,119.975,0.0789,0.00098,0.74,0.862,Kinetik
0.818,114.989,0.00634,0.19,0.78,0.934,Kinetik
0.823,107.857,0.000522,0.138,0.767,0.812,Kinetik
0.809,101.066,0.0,0.214,0.771,0.873,Kinetik
0.842,118.023,0.00397,0.136,0.83,0.768,Kinetik
0.857,111.367,0.0102,0.462,0.772,0.977,Kinetik
0.837,123.02,0.00014,0.315,0.825,0.495,Kinetik
0.828,104.036,0.152,0.0935,0.719,0.96,Kinetik
0.925,103.006,0.0779,0.0155,0.715,0.898,Kinetik
0.895,133.704,0.121,0.000249,0.663,0.9,Kinetik
0.866,119.98,0.0512,0.00709,0.74,0.797,Kinetik
0.862,107.981,0.000532,0.287,0.733,0.745,Kinetik
0.921,116.001,0.0794,0.0753,0.691,0.597,Kinetik
0.773,100.006,0.0,0.000901,0.658,0.66,Kinetik
0.854,125.637,1.2e-06,0.179,0.666,0.803,Kinetik
0.773,100.006,0.0,0.000901,0.658,0.66,Kinetik
0.773,100.006,0.0,0.000901,0.658,0.66,Kinetik
0.794,114.62,0.00134,0.00769,0.654,0.678,Kinetik
0.773,100.006,0.0,0.000901,0.658,0.66,Kinetik
0.902,119.008,8.74e-05,0.169,0.668,0.913,Kinetik
0.789,129.802,0.00708,0.00178,0.674,0.918,Kinetik
0.789,129.802,0.00708,0.00178,0.674,0.918,Kinetik
0.855,125.639,1.2e-06,0.179,0.666,0.803,Kinetik
0.905,118.119,0.00149,0.0921,0.714,0.362,Kinetik
0.918,128.016,0.00127,0.000148,0.725,0.503,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.02,0.0,0.0394,0.731,0.776,Kinetik
0.867,104.019,0.0,0.0395,0.731,0.776,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.817,107.992,0.00679,0.262,0.657,0.651,Kinetik
0.902,119.008,8.74e-05,0.169,0.668,0.913,Kinetik
0.905,117.997,0.0521,0.0529,0.662,0.857,Kinetik
0.835,120.019,0.0,0.25,0.743,0.955,Kinetik
0.82,109.998,0.318,0.238,0.7,0.667,Kinetik
0.909,118.007,0.108,0.0438,0.666,0.846,Kinetik
0.856,117.027,0.00728,0.342,0.684,0.343,Kinetik
0.81,114.623,0.00251,0.00719,0.654,0.661,Kinetik
0.933,134.048,0.0,0.0203,0.651,0.798,Kinetik
