energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.0821,87.379,0.937,0.99,0.636,0.463,Stargazer
0.183,83.481,0.929,0.994,0.631,0.399,Stargazer
0.147,73.995,0.942,0.947,0.799,0.537,Stargazer
0.357,79.981,0.691,0.669,0.743,0.447,Stargazer
0.268,98.851,0.952,0.981,0.511,0.337,Stargazer
0.428,94.111,0.938,0.468,0.688,0.312,Stargazer
0.245,88.664,0.889,0.956,0.534,0.34,Stargazer
0.241,67.435,0.522,0.992,0.598,0.328,Stargazer
0.127,80.072,0.908,0.927,0.679,0.44,Stargazer
0.164,80.065,0.946,0.97,0.593,0.327,Stargazer
0.407,98.028,0.907,0.516,0.874,0.518,Stargazer
0.236,75.985,0.918,0.971,0.623,0.307,Stargazer
0.332,95.213,0.808,0.345,0.691,0.375,Stargazer
0.185,80.658,0.917,0.891,0.524,0.434,Stargazer
0.114,92.249,0.902,0.991,0.53,0.369,Stargazer
0.385,81.548,0.905,0.286,0.564,0.418,Stargazer
0.15,83.865,0.924,0.482,0.608,0.519,Stargazer
0.189,76.141,0.871,0.927,0.622,0.368,Stargazer
0.396,89.999,0.866,0.979,0.65,0.303,Stargazer
0.252,84.828,0.859,0.944,0.529,0.317,Stargazer
0.0874,88.783,0.926,0.954,0.519,0.595,Stargazer
0.418,85.626,0.802,0.714,0.556,0.528,Stargazer
0.417,95.12,0.711,0.34,0.507,0.468,Stargazer
0.399,89.06,0.881,0.557,0.705,0.44,Stargazer
0.162,97.041,0.935,0.97,0.505,0.341,Stargazer
0.193,98.95,0.909,0.958,0.688,0.448,Stargazer
0.417,90.022,0.926,0.686,0.766,0.595,Stargazer
0.451,90.063,0.919,0.435,0.8,0.394,Stargazer
0.322,80.0,0.805,0.897,0.708,0.538,Stargazer
0.252,79.985,0.853,0.923,0.835,0.434,Stargazer
0.239,97.545,0.845,0.829,0.631,0.506,Stargazer
0.352,81.92,0.942,0.656,0.522,0.584,Stargazer
0.217,84.532,0.555,0.895,0.509,0.479,Stargazer
0.137,87.416,0.797,0.927,0.585,0.434,Stargazer
0.44,90.782,0.895,0.719,0.538,0.407,Stargazer
0.366,75.008,0.951,0.774,0.609,0.494,Stargazer
0.242,95.759,0.94,0.996,0.7,0.586,Stargazer
0.184,81.245,0.937,0.442,0.607,0.475,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.251,85.002,0.651,0.46,0.757,0.531,Stargazer
0.456,80.974,0.895,0.279,0.67,0.589,Stargazer
0.334,91.079,0.83,0.77,0.78,0.383,Stargazer
0.103,66.283,0.6,0.986,0.593,0.443,Stargazer
0.103,66.283,0.6,0.986,0.593,0.443,Stargazer
0.292,80.002,0.927,0.857,0.674,0.581,Stargazer
0.383,91.564,0.902,0.905,0.509,0.341,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.476,96.019,0.611,0.215,0.699,0.457,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.0555,71.086,0.944,0.995,0.676,0.388,Stargazer
0.47,76.305,0.681,0.529,0.517,0.324,Stargazer
0.169,77.084,0.841,0.808,0.511,0.326,Stargazer
